,Age_range,0,1,number,sigma,Zscore_Age_rangediff
0,15-20,0.7894736842105263,0.21052631578947367,57.0,0.0029158769499927103,2.2382000000000004
1,20-30,0.8086124401913876,0.19138755980861244,209.0,0.0007404706304263982,-17.03300532544377
2,30-40,0.8125,0.1875,176.0,0.0008655894886363636,-19.06215384615383
3,40-50,0.7905759162303665,0.2094240837696335,191.0,0.000866835795323995,6.257337086092729
4,50-60,0.7772020725388601,0.22279792746113988,193.0,0.0008971969480837333,20.95184062015504
5,60+,0.7931034482758621,0.20689655172413793,174.0,0.0009430480954528681,3.071478260869576
